Survival,EClass,Age,Sex
0,3,18,0
0,3,20,1
0,3,55,1
0,3,20,1
0,3,33,1
0,3,17,1
0,3,46,1
0,3,14,1
0,3,8,1
0,3,30,1
0,3,7,0
0,3,6,1
0,3,5,0
1,3,32,1
1,3,6,0
1,3,4,0
0,3,2,1
0,3,35,1
0,3,11,1
1,3,8,0
0,3,0,1
0,3,23,0
0,3,20,1
0,3,36,1
0,3,9,0
0,3,3,0
0,3,5,1
1,3,31,0
0,3,33,1
0,3,9,0
0,3,7,0
0,3,4,0
0,3,0,0
0,3,31,0
0,3,30,1
0,3,6,1
0,2,34,1
0,2,0,1
0,3,20,1
0,3,18,1
0,3,35,1
0,3,11,1
0,3,10,0
0,3,8,0
0,3,6,1
1,3,48,0
0,3,24,0
0,3,25,1
1,3,21,0
0,3,31,0
0,3,19,0
0,3,28,1
0,3,3,0
0,3,2,1
0,3,20,1
0,3,46,1
0,3,15,1
0,3,11,1
0,3,6,0
0,3,27,0
0,3,19,0
0,3,16,1
0,3,20,1
1,3,24,0
0,3,26,0
0,3,22,1
0,3,0,0
0,3,30,1
0,3,9,1
0,3,8,0
0,3,4,1
0,3,0,0
0,3,24,0
0,3,24,0
0,3,33,0
0,3,44,0
0,3,37,0
0,3,62,0
0,3,17,0
0,3,15,0
0,3,32,0
0,3,19,1
0,3,1,0
0,3,0,1
0,3,14,1
0,3,13,1
0,3,26,1
0,3,20,1
0,3,18,1
1,3,8,1
1,3,17,0
0,3,16,0
1,3,34,1
1,3,11,1
0,3,29,1
0,3,8,1
0,3,5,1
1,3,23,0
0,3,26,0
0,3,29,1
0,3,9,1
0,3,2,0
0,3,50,1
0,3,13,1
0,3,11,1
0,3,9,1
0,3,4,0
0,3,27,0
0,3,16,1
1,3,25,1
0,3,5,0
1,3,3,1
1,3,18,0
0,3,19,1
0,3,18,1
0,3,33,1
0,3,51,1
0,3,16,0
0,3,14,1
0,3,12,0
0,3,10,0
0,3,18,0
0,3,18,0
1,3,26,1
1,3,4,0
1,3,50,0
0,3,17,0
0,3,32,0
0,3,27,0
1,3,19,0
0,3,17,0
0,3,19,1
0,3,17,1
1,3,18,0
0,3,40,1
0,3,16,1
0,3,13,0
0,3,7,0
0,3,5,1
0,3,3,0
0,3,31,1
0,3,26,1
0,3,8,0
0,3,33,1
0,3,12,0
0,3,10,1
0,3,5,0
0,3,53,0
0,3,52,1
0,3,22,1
0,3,19,1
0,3,17,1
0,3,15,0
0,3,16,1
1,3,18,0
0,3,39,1
0,3,29,0
0,3,25,0
0,3,18,0
0,3,32,0
0,3,39,1
0,3,32,1
0,3,10,0
0,3,8,1
0,3,6,1
0,3,27,0
1,3,24,0
0,3,27,0
0,3,44,1
0,3,7,0
0,3,4,1
0,3,32,0
1,3,25,0
0,3,22,1
0,3,24,1
0,3,19,0
0,3,22,0
0,3,21,0
0,3,25,1
0,3,11,0
0,3,9,0
0,3,8,0
0,3,0,1
0,3,55,1
0,3,10,0
0,3,26,0
0,3,23,1
0,3,2,0
0,3,0,0
1,3,25,0
0,3,30,1
0,3,5,1
0,3,3,1
0,3,25,1
0,3,8,0
0,3,5,0
0,3,16,1
1,3,27,0
1,3,33,0
0,2,50,1
0,2,10,1
0,2,8,1
0,3,16,1
0,3,24,1
0,2,27,1
1,3,32,0
0,3,16,1
0,3,66,1
0,3,20,1
0,3,15,1
0,3,22,1
0,3,19,0
1,3,18,1
0,3,10,1
0,3,24,0
0,3,25,1
0,3,24,1
0,3,36,1
0,3,11,1
0,3,7,0
0,3,3,0
1,3,15,0
0,2,34,0
0,3,17,1
1,3,39,0
0,3,34,0
0,3,24,1
0,2,67,1
0,3,19,0
0,3,44,0
0,3,44,1
0,3,20,1
0,3,19,0
0,3,18,0
0,3,15,1
0,3,11,1
0,3,10,0
0,3,8,1
0,3,7,0
0,3,0,1
0,3,59,1
0,3,18,1
0,3,42,1
0,3,13,1
0,3,23,1
0,3,28,1
0,3,17,0
0,3,29,0
0,3,30,0
0,3,57,0
0,3,17,1
0,3,26,0
0,3,31,1
0,3,44,1
0,3,11,0
0,3,10,1
0,3,18,1
0,3,27,1
0,3,6,1
0,3,5,0
0,3,3,0
0,3,1,0
1,3,25,1
0,3,25,0
0,3,29,1
0,3,4,1
0,3,0,0
0,3,42,1
0,3,29,1
0,3,9,0
0,3,7,0
0,3,55,1
0,3,3,1
0,3,48,1
0,3,15,0
0,3,11,1
0,3,7,0
0,3,7,0
0,3,37,0
0,3,36,1
0,3,12,0
0,3,10,0
0,3,5,1
1,3,32,0
1,3,18,0
1,3,27,1
0,3,12,1
1,3,9,1
0,3,8,0
1,3,5,0
1,3,25,0
1,3,19,0
0,3,42,0
0,3,38,1
0,3,17,1
0,3,15,1
0,3,7,1
0,3,5,1
0,3,3,1
0,3,0,1
1,3,46,0
1,3,18,0
0,3,55,1
0,3,30,1
0,3,21,1
1,3,17,0
0,3,22,1
1,3,19,0
0,3,25,1
1,3,16,0
1,3,33,1
1,3,8,1
1,3,7,0
0,3,5,1
1,3,3,1
0,3,0,0
1,3,30,0
0,3,31,0
0,3,28,1
0,3,3,1
0,3,0,0
0,3,20,1
0,3,19,0
0,3,25,0
0,3,32,0
0,3,40,1
0,3,14,1
0,3,11,1
0,3,9,0
0,3,7,0
0,3,18,1
1,3,26,0
1,3,27,0
0,3,49,0
0,3,38,0
0,3,36,1
0,3,10,1
0,3,8,0
0,3,6,0
0,3,0,0
0,3,20,1
1,3,35,0
0,3,60,0
0,3,55,1
0,3,23,0
0,3,28,1
1,3,27,0
0,3,26,1
0,3,35,0
0,3,31,0
0,3,27,1
0,3,32,1
0,3,23,0
0,3,25,1
0,3,0,0
0,3,24,0
0,3,32,0
0,3,23,1
0,3,4,0
0,3,26,0
0,3,20,1
0,3,18,1
0,3,56,0
0,3,56,1
0,3,24,1
0,3,16,1
0,3,27,0
1,3,32,0
0,3,23,1
1,3,38,0
1,3,32,1
1,3,6,1
0,3,16,1
0,3,10,0
1,3,26,0
0,3,42,0
0,3,45,1
0,3,12,0
0,3,9,1
0,3,26,1
0,3,8,0
0,3,7,0
0,3,5,1
0,3,19,1
1,3,27,1
1,3,5,0
1,3,4,0
1,3,2,1
0,3,28,0
0,3,20,1
0,3,16,1
0,3,40,1
0,3,18,1
0,3,17,1
0,3,11,1
0,3,9,0
0,3,48,1
0,3,16,0
0,3,24,1
0,3,29,0
1,3,30,0
1,3,16,1
0,3,29,1
0,3,27,1
0,3,6,0
0,3,3,1
0,3,16,1
0,3,19,1
0,3,35,0
1,3,30,0
0,3,33,1
0,3,9,1
0,3,7,1
0,3,5,0
0,3,3,1
0,3,1,1
1,3,31,0
1,3,34,0
0,3,34,1
0,3,12,0
0,3,8,1
0,3,5,1
0,3,3,1
0,3,1,1
0,3,45,1
0,3,19,0
0,3,14,0
0,3,12,1
0,3,9,0
0,3,3,0
0,3,17,1
1,3,29,0
0,3,32,1
0,3,4,0
1,3,1,1
0,3,21,1
0,3,43,0
0,3,43,1
0,3,11,1
0,3,8,0
0,3,6,1
0,3,3,1
0,3,25,1
0,3,2,0
0,3,49,0
0,3,22,0
0,1,25,1
1,3,21,0
1,3,20,1
1,3,50,0
0,3,50,1
0,3,17,0
0,3,14,0
0,3,12,1
0,3,9,1
0,3,9,0
1,3,18,0
0,3,59,1
0,3,23,0
0,3,22,1
0,3,18,1
0,3,24,0
0,3,69,1
0,3,57,0
0,3,61,1
0,3,14,0
0,3,21,0
0,3,17,1
0,3,39,1
0,3,12,1
0,3,10,0
0,3,9,1
0,3,6,1
0,3,5,1
0,3,3,0
0,3,1,0
0,3,21,0
1,3,25,0
0,3,26,1
0,3,23,1
0,3,20,1
0,3,22,1
1,3,46,0
0,3,43,0
0,3,36,1
0,3,3,0
0,3,1,1
1,3,46,0
0,3,19,1
1,3,35,1
1,3,10,1
1,3,8,1
1,3,5,1
0,3,4,1
0,3,17,0
1,3,15,1
1,3,20,0
1,3,19,0
1,3,40,0
1,3,29,1
0,3,8,0
0,3,5,1
1,3,0,1
0,3,26,1
0,3,37,1
1,3,19,0
1,3,16,0
1,3,17,0
1,3,60,0
0,3,28,0
0,3,22,1
0,3,27,0
0,3,22,0
1,3,20,0
0,3,40,0
0,3,16,1
1,3,41,1
1,3,16,1
1,3,13,0
1,3,10,1
0,3,4,0
0,3,2,1
0,3,31,0
1,3,19,0
0,3,32,0
0,3,23,0
1,3,22,1
0,3,47,0
0,3,42,1
0,3,16,1
0,3,12,0
0,3,8,1
0,3,4,1
0,3,2,1
0,3,0,1
0,3,21,1
0,3,20,0
0,3,22,1
0,3,25,1
0,3,0,1
0,3,21,0
0,3,28,1
0,3,11,1
0,3,17,1
1,3,26,0
1,3,31,0
1,3,24,1
1,3,5,0
1,3,1,0
0,3,20,1
0,3,26,0
0,3,33,1
0,3,37,0
1,3,18,0
0,3,19,0
1,3,32,0
0,3,31,1
0,3,21,0
0,3,19,0
0,3,27,1
0,3,18,0
0,3,21,0
0,3,53,0
0,3,55,1
1,3,18,0
1,3,18,0
0,3,21,1
0,3,21,1
0,3,22,1
0,3,18,1
0,2,29,1
1,3,16,0
0,3,34,1
0,3,8,0
0,3,4,1
0,3,3,0
0,3,1,0
0,3,17,1
0,3,21,1
1,3,18,0
1,3,18,0
0,3,18,1
0,3,21,0
0,3,21,0
1,3,17,0
0,3,20,1
1,3,40,0
1,3,16,0
0,3,21,0
1,3,21,1
0,3,18,1
0,3,42,0
0,3,40,1
0,3,16,0
0,3,15,0
0,3,13,1
0,3,8,0
0,3,5,1
0,3,2,1
0,3,28,1
0,3,19,0
0,3,29,0
0,3,17,0
0,3,20,0
0,3,38,0
1,3,24,0
1,3,17,0
0,3,25,1
0,3,4,0
0,3,1,1
0,3,20,0
0,3,37,1
0,3,13,0
0,3,12,1
0,3,10,0
0,3,9,0
0,3,7,0
0,3,4,1
0,3,18,1
0,3,48,0
0,3,45,1
0,3,37,1
1,3,19,0
0,3,18,0
0,3,15,1
0,3,13,0
0,3,11,1
0,3,8,0
1,3,6,0
0,3,3,0
0,3,1,0
0,3,29,1
0,3,44,0
0,3,34,1
0,3,6,0
0,3,4,1
0,3,2,1
0,3,0,0
0,3,60,1
0,3,26,1
0,3,43,0
1,3,18,0
0,3,23,1
0,3,17,0
0,3,18,1
0,3,20,1
1,3,18,0
0,3,19,1
1,3,22,0
0,3,26,1
0,3,17,0
1,3,18,0
0,3,27,0
0,3,16,0
0,3,17,1
0,3,19,1
0,3,30,0
0,3,16,1
0,3,15,1
1,3,22,0
1,3,23,1
0,3,23,1
0,3,3,0
0,3,0,1
0,3,26,0
0,3,23,0
0,3,49,1
0,3,16,1
0,3,27,1
0,3,6,0
0,3,4,1
0,3,1,1
0,3,61,0
1,3,25,1
0,3,31,1
1,3,22,0
0,3,25,0
1,3,24,0
1,3,19,0
1,3,35,0
0,3,32,0
